student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,addr_city,addr_district,addr_postal,hobbies,skill_tech_python,skill_tech_excel,skill_tech_sql,skill_soft,siblings,income_father,income_mother,device1_type,device1_brand,device1_year,device2_type,device2_brand,device2_year
11,Shawn Baker,19,Unknown,,986-850-9629,Zhangstad,NA,2025-06-10,Data Science,,active,,  excellent  ,183.0,2001-06-06,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",INVALID_JSON_DATA,Tashkent,North Samantha district,100659,,,,,,,,,,,,,,
12,Unknown,18,Female,71.0,NA,Austinside,annalee@gmail.com,2013-01-14,Data Science,,inactive,,average,208.0,2003-05-27,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315","{hobbies:['forward', 'like']}",Tashkent,Morrismouth district,100315,,,,,,,,,,,,,,
13,Unknown,19,Female,,573-631-1916,Lesliefurt,NA,2014-12-24,Data Science,,inactive,,  excellent  ,84.0,2010-11-21,"Frankchester 9-kv, dom 20, Tashkent",INVALID_JSON_DATA,Tashkent,dom 20,,,,,,,,,,,,,,,
14,Thomas Prince,20,Unknown,,NA,East Michellestad,aphillips@holland-diaz.org,2012-02-09,Python,,inactive,,excellent,210.0,2013-05-14,UZ 100394 Tashkent Stevensborough,"{hobbies:['understand', 'become']}",Tashkent,,100394,,,,,,,,,,,,,,
15,Unknown,21,Male,73.0,NA,Michellebury,kevin65@maxwell.info,1971-03-17,Python,,pending,,good,191.0,1984-10-29,"Davidborough 9-kv, dom 29, Tashkent",INVALID_JSON_DATA,Tashkent,dom 29,,,,,,,,,,,,,,,
16,Adrian Allen,20,Female,,NA,Antoniobury,NA,1999-08-29,Python,,pending,,excellent,53.0,1983-10-13,"1965 Jacobs Branch Apt. 418, Timburgh","{'hobbies': ['partner', 'race'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 4}, 'soft': ['onto', 'owner']}, 'family': {'siblings': 3, 'income': {'father': 798, 'mother': 626}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}",Tashkent,,,,4.0,4.0,4.0,,3.0,798.0,626.0,laptop,Dell,2019.0,phone,Apple,2022.0
17,Stephen Lyons,19,Unknown,76.0,NA,New Adam,NA,2009-10-13,Data Science,,active,,good,110.0,1984-12-04,UZ 100399 Tashkent Joehaven,"{'hobbies': ['nothing', 'community'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 5}, 'soft': ['wear', 'will']}, 'family': {'siblings': 1, 'income': {'father': 772, 'mother': 498}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}",Tashkent,,100399,,1.0,1.0,5.0,,1.0,772.0,498.0,laptop,Lenovo,2023.0,phone,Apple,2021.0
18,Zachary Lyons,18,Male,68.0,242-552-5722,Chenport,NA,2003-09-25,Data Science,,inactive,,average,138.0,1997-08-27,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",INVALID_JSON_DATA,Tashkent,Port Kevin district,100106,,,,,,,,,,,,,,
19,Unknown,20,Female,50.0,179-099-6883,West Danaville,NA,1974-02-20,Data Science,,active,3.05,excellent,66.0,1976-05-07,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,Tashkent,,,,,,,,,,,,,,,,
20,Anthony Hardy,20,Male,,728-730-1241,Kimport,NA,1973-05-20,Data Science,65.0,pending,,  excellent  ,218.0,,"Masontown 10-kv, dom 21, Tashkent","{'hobbies': ['certainly', 'defense'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 4}, 'soft': ['medical', 'quality']}, 'family': {'siblings': 4, 'income': {'father': 1220, 'mother': 1220}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}",Tashkent,dom 21,,,5.0,2.0,4.0,,4.0,1220.0,1220.0,laptop,Lenovo,2018.0,phone,Apple,2019.0
21,Hector Beltran,20,Male,52.0,NA,North Harry,preid@hotmail.com,2010-02-02,Data Science,,active,,good,153.0,1983-03-31,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,Tashkent,,,,,,,,,,,,,,,,
22,Tara Nguyen,22,Unknown,73.0,874-299-9225,Brittanychester,rrodriguez@newman.com,2000-06-04,Python,78.0,inactive,,excellent,174.0,2020-11-26,UZ 100063 Tashkent Lake Shaneland,"{'hobbies': ['create', 'accept'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 1}, 'soft': ['new', 'manager']}, 'family': {'siblings': 3, 'income': {'father': 1140, 'mother': 1117}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]}",Tashkent,,100063,,1.0,3.0,1.0,,3.0,1140.0,1117.0,laptop,Dell,2016.0,phone,Xiaomi,2018.0
23,Jessica Robinson,22,Male,,509-376-8300,Jonesfurt,NA,2010-10-05,Data Science,81.0,inactive,,good,261.0,2005-06-09,"0451 James Cliffs Suite 725, Wagnermouth","{hobbies:['type', 'beautiful']}",Tashkent,,,,,,,,,,,,,,,,
24,Latoya Williams,18,Male,60.0,NA,North Ashleyborough,NA,2021-06-08,Data Science,,pending,,  excellent  ,148.0,,"0258 Sean Keys Apt. 380, Kevinfort","{'hobbies': ['step', 'section'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 3}, 'soft': ['beat', 'popular']}, 'family': {'siblings': 0, 'income': {'father': 1376, 'mother': 871}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}",Tashkent,,,,1.0,5.0,3.0,,0.0,1376.0,871.0,laptop,Dell,2022.0,phone,Xiaomi,2019.0
25,Unknown,21,Unknown,,NA,Donnaview,urodriguez@ferrell.com,2025-03-08,Data Science,,pending,,excellent,135.0,2000-07-16,"06462 Buck Springs Apt. 169, North Lisa","{'hobbies': ['phone', 'consider'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 2}, 'soft': ['must', 'around']}, 'family': {'siblings': 0, 'income': {'father': 1453, 'mother': 206}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}",Tashkent,,06462,,1.0,3.0,2.0,,0.0,1453.0,206.0,laptop,Lenovo,2019.0,phone,Xiaomi,2020.0
26,Unknown,21,Female,,NA,Harrisbury,NA,,Data Science,96.0,pending,,good,299.0,2001-02-12,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","{'hobbies': ['tough', 'role'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 2}, 'soft': ['south', 'his']}, 'family': {'siblings': 1, 'income': {'father': 623, 'mother': 577}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}",Tashkent,Lake Crystal district,100119,,3.0,1.0,2.0,,1.0,623.0,577.0,laptop,Dell,2022.0,phone,Apple,2019.0
27,Emily Cummings,22,Female,59.0,NA,East Dariuston,NA,,Python,,inactive,1.18,average,245.0,2000-12-24,"Apartment 27, South David district, Tashkent, UZ, 100696","{""hobbies"": [""billion"", ""feeling""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 3}, ""soft"": [""thought"", ""particularly""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 303, ""mother"": 1245}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]}",Tashkent,South David district,100696,,3.0,1.0,3.0,,4.0,303.0,1245.0,laptop,Lenovo,2023.0,phone,Samsung,2023.0
28,Brandy Powell,20,Unknown,87.0,330-292-9740,Oconnellburgh,benjamincollins@davis.info,2000-07-27,Python,,inactive,,excellent,285.0,2014-07-31,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['energy', 'however'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 3}, 'soft': ['either', 'plan']}, 'family': {'siblings': 4, 'income': {'father': 1105, 'mother': 1106}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}",Tashkent,,,,2.0,1.0,3.0,,4.0,1105.0,1106.0,laptop,Lenovo,2023.0,phone,Samsung,2022.0
29,Unknown,21,Male,88.0,810-292-1287,West Rachel,elizabeth49@yahoo.com,2014-09-19,Data Science,,inactive,,unknown,295.0,1992-05-20,"241 Sarah Spring, Bridgetton",INVALID_JSON_DATA,Tashkent,,,,,,,,,,,,,,,,
30,Jaime Rowe,,Female,69.0,892-959-8929,Shepardmouth,eolson@carr.net,1972-01-29,Data Science,64.0,pending,,average,294.0,,"Port Robertstad 16-kv, dom 50, Tashkent","{'hobbies': ['woman', 'wear'], 'skills': {'tech': {'python': 4, 'excel': 5, 'sql': 3}, 'soft': ['reduce', 'than']}, 'family': {'siblings': 4, 'income': {'father': 1291, 'mother': 913}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}",Tashkent,dom 50,,,4.0,5.0,3.0,,4.0,1291.0,913.0,laptop,Lenovo,2024.0,phone,Xiaomi,2019.0
31,Brianna Castro,21,Unknown,,NA,East Regina,NA,2007-10-13,Data Science,,pending,,average,63.0,1970-09-12,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,Tashkent,,,,,,,,,,,,,,,,
32,April Johnson,20,Male,,054-829-3587,Andersontown,daniel21@hotmail.com,,Python,,active,,good,289.0,2022-04-21,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","{'hobbies': ['material', 'relate'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 3}, 'soft': ['against', 'history']}, 'family': {'siblings': 4, 'income': {'father': 1124, 'mother': 1323}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]}",Tashkent,Christineburgh district,100686,,5.0,3.0,3.0,,4.0,1124.0,1323.0,laptop,Dell,2023.0,phone,Apple,2018.0
33,Joyce Franklin,20,Female,60.0,090-581-6281,South Brittany,NA,2000-06-29,Data Science,66.0,inactive,,  excellent  ,57.0,1982-05-31,"New Antonio 12-kv, dom 41, Tashkent","{""hobbies"": [""run"", ""case""], ""skills"": {""tech"": {""python"": 4, ""excel"": 2, ""sql"": 3}, ""soft"": [""rock"", ""never""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1009, ""mother"": 1369}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2020}]}",Tashkent,dom 41,,,4.0,2.0,3.0,,4.0,1009.0,1369.0,laptop,Dell,2022.0,phone,Xiaomi,2020.0
34,Unknown,20,Female,,NA,Hillmouth,NA,1983-05-24,Data Science,67.0,active,,  excellent  ,172.0,1975-06-08,UZ 100883 Tashkent West Michaelport,"{'hobbies': ['decide', 'least'], 'skills': {'tech': {'python': 5, 'excel': 5, 'sql': 2}, 'soft': ['mouth', 'laugh']}, 'family': {'siblings': 4, 'income': {'father': 763, 'mother': 1393}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]}",Tashkent,,100883,,5.0,5.0,2.0,,4.0,763.0,1393.0,laptop,HP,2019.0,phone,Samsung,2020.0
35,Unknown,22,Female,,230-352-2091,North Maryfort,NA,2008-01-25,Data Science,,pending,,unknown,136.0,1998-08-30,UZ 100652 Tashkent Lake Donaldton,INVALID_JSON_DATA,Tashkent,,100652,,,,,,,,,,,,,,
36,Unknown,22,Unknown,87.0,177-825-1647,North Gerald,NA,2018-11-11,Python,,inactive,,average,202.0,2024-12-18,"North Amy 11-kv, dom 49, Tashkent","{""hobbies"": [""stay"", ""even""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 3}, ""soft"": [""generation"", ""group""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 219, ""mother"": 1344}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}",Tashkent,dom 49,,,3.0,5.0,3.0,,1.0,219.0,1344.0,laptop,Dell,2017.0,phone,Apple,2021.0
37,Jeremy Fry,18,Female,,802-562-2965,New Kent,mccoyandrew@yahoo.com,,Data Science,,pending,,average,157.0,1971-02-04,"Apartment 49, New Ian district, Tashkent, UZ, 100606","{hobbies:['score', 'bar']}",Tashkent,New Ian district,100606,,,,,,,,,,,,,,
38,Christopher Sosa,20,Male,,648-173-7665,New Aliceland,NA,2022-08-12,Data Science,67.0,active,,  excellent  ,242.0,1970-02-17,"Apartment 22, Youngton district, Tashkent, UZ, 100192","{""hobbies"": [""art"", ""learn""], ""skills"": {""tech"": {""python"": 3, ""excel"": 2, ""sql"": 3}, ""soft"": [""write"", ""alone""]}, ""family"": {""siblings"": 2, ""income"": {""father"": 1354, ""mother"": 448}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2024}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2020}]}",Tashkent,Youngton district,100192,,3.0,2.0,3.0,,2.0,1354.0,448.0,laptop,Lenovo,2024.0,phone,Samsung,2020.0
39,David Duke,20,Female,,526-677-6949,Harrishaven,baguilar@hotmail.com,2004-09-26,Python,,active,,excellent,159.0,2022-05-25,UZ 100766 Tashkent Port William,"{hobbies:['challenge', 'trouble']}",Tashkent,,100766,,,,,,,,,,,,,,
40,Sara Page,20,Female,71.0,NA,West William,edgar27@phillips-martin.info,,Python,,inactive,,unknown,140.0,1993-10-06,"73317 Timothy Port Suite 163, Dicksonbury","{""hobbies"": [""imagine"", ""middle""], ""skills"": {""tech"": {""python"": 3, ""excel"": 4, ""sql"": 4}, ""soft"": [""begin"", ""movement""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 270, ""mother"": 255}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}",Tashkent,,73317,,3.0,4.0,4.0,,5.0,270.0,255.0,laptop,Lenovo,2020.0,phone,Apple,2021.0
41,Unknown,19,Male,,NA,West Georgefort,NA,1975-12-17,Data Science,,active,,average,225.0,,"4613 Robert Cliff Suite 875, South Leslie","{""hobbies"": [""particular"", ""turn""], ""skills"": {""tech"": {""python"": 1, ""excel"": 4, ""sql"": 2}, ""soft"": [""trip"", ""toward""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 1364, ""mother"": 1312}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2019}]}",Tashkent,,,,1.0,4.0,2.0,,5.0,1364.0,1312.0,laptop,HP,2017.0,phone,Xiaomi,2019.0
42,Mark Smith,,Male,,NA,West Morganchester,NA,1980-12-09,Data Science,81.0,inactive,,excellent,255.0,1980-06-06,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",INVALID_JSON_DATA,Tashkent,Port Kristopherberg district,100563,,,,,,,,,,,,,,
43,Amanda Myers,19,Female,,698-115-3243,North Christopherborough,hoganandrew@hotmail.com,,Data Science,,pending,,average,140.0,1990-02-09,UZ 100515 Tashkent North Joseph,"{'hobbies': ['professional', 'necessary'], 'skills': {'tech': {'python': 5, 'excel': 4, 'sql': 2}, 'soft': ['recent', 'tend']}, 'family': {'siblings': 1, 'income': {'father': 1134, 'mother': 1304}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}",Tashkent,,100515,,5.0,4.0,2.0,,1.0,1134.0,1304.0,laptop,Dell,2018.0,phone,Apple,2021.0
44,Eric George,18,Male,93.0,NA,Nathanborough,cynthia47@oneill.com,,Python,,inactive,,good,205.0,,UZ 100297 Tashkent North Candace,"{hobbies:['official', 'begin']}",Tashkent,,100297,,,,,,,,,,,,,,
45,Unknown,20,Unknown,83.0,NA,Duncanfort,NA,,Data Science,,active,0.0,  excellent  ,135.0,2022-11-21,"Annahaven 19-kv, dom 3, Tashkent","{'hobbies': ['finish', 'true'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 2}, 'soft': ['enter', 'response']}, 'family': {'siblings': 5, 'income': {'father': 778, 'mother': 355}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2022}]}",Tashkent,dom 3,,,4.0,2.0,2.0,,5.0,778.0,355.0,laptop,Lenovo,2021.0,phone,Xiaomi,2022.0
46,Brandi Jones,20,Male,,NA,Ramirezborough,lawrence93@robinson-davis.com,1989-02-03,Data Science,92.0,inactive,,unknown,172.0,1975-05-22,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""raise"", ""let""], ""skills"": {""tech"": {""python"": 1, ""excel"": 5, ""sql"": 2}, ""soft"": [""tell"", ""compare""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 209, ""mother"": 1191}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}",Tashkent,,,,1.0,5.0,2.0,,3.0,209.0,1191.0,laptop,Dell,2016.0,phone,Apple,2021.0
47,John Robinson,19,Unknown,51.0,NA,Port Tracy,wallacerandy@bradshaw.com,,Data Science,,active,,average,166.0,1994-04-25,UZ 100626 Tashkent East Williamport,"{'hobbies': ['above', 'even'], 'skills': {'tech': {'python': 3, 'excel': 2, 'sql': 5}, 'soft': ['minute', 'view']}, 'family': {'siblings': 4, 'income': {'father': 1127, 'mother': 1111}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}",Tashkent,,100626,,3.0,2.0,5.0,,4.0,1127.0,1111.0,laptop,HP,2020.0,phone,Apple,2022.0
48,Suzanne Meyer,20,Male,95.0,NA,South Joshua,bartlettchristy@perez-strickland.com,1972-09-21,Data Science,,active,,unknown,144.0,1976-01-20,"6637 Michelle Unions Apt. 959, Erikfort","{'hobbies': ['do', 'property'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 4}, 'soft': ['parent', 'raise']}, 'family': {'siblings': 1, 'income': {'father': 709, 'mother': 1006}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2015}, {'type': 'phone', 'brand': 'Apple', 'year': 2024}]}",Tashkent,,,,3.0,1.0,4.0,,1.0,709.0,1006.0,laptop,Dell,2015.0,phone,Apple,2024.0
49,Unknown,18,Female,,271-809-4741,Lake Michael,ablair@gomez.com,,Data Science,81.0,active,,average,225.0,1992-09-19,"00607 Alvarez Circles Suite 553, North Benjamin","{hobbies:['wonder', 'strong']}",Tashkent,,00607,,,,,,,,,,,,,,
50,Justin Wong,18,Female,90.0,099-177-1999,Travisfort,NA,1970-03-02,Data Science,,active,,average,164.0,1995-02-16,"Apartment 28, East Andrew district, Tashkent, UZ, 100090","{'hobbies': ['decide', 'continue'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 3}, 'soft': ['these', 'could']}, 'family': {'siblings': 3, 'income': {'father': 204, 'mother': 506}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2016}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}",Tashkent,East Andrew district,100090,,4.0,4.0,3.0,,3.0,204.0,506.0,laptop,Lenovo,2016.0,phone,Samsung,2024.0
51,James Davis,20,Female,61.0,NA,New Emilyshire,NA,2014-02-09,Data Science,,inactive,,average,132.0,1995-04-07,UZ 100391 Tashkent Lake Amy,"{hobbies:['prove', 'central']}",Tashkent,,100391,,,,,,,,,,,,,,
52,Mitchell Conway,19,Female,63.0,570-911-9906,Lake Louis,NA,1994-06-13,Data Science,,inactive,,unknown,205.0,,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""painting"", ""tough""], ""skills"": {""tech"": {""python"": 4, ""excel"": 5, ""sql"": 2}, ""soft"": [""hour"", ""series""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 543, ""mother"": 1003}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2015}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2020}]}",Tashkent,,,,4.0,5.0,2.0,,3.0,543.0,1003.0,laptop,Dell,2015.0,phone,Apple,2020.0
53,Unknown,20,Female,88.0,691-118-5301,West Lindsayview,dclark@boyd.info,2012-06-25,Data Science,,inactive,,average,251.0,1990-03-31,UZ 100232 Tashkent Annabury,"{hobbies:['least', 'question']}",Tashkent,,100232,,,,,,,,,,,,,,
54,Heather Moreno,19,Female,83.0,782-890-5514,South Jasmine,woodsanna@wilkinson-glenn.info,2025-07-25,Data Science,,pending,,  excellent  ,221.0,2024-01-16,"Christown 6-kv, dom 20, Tashkent","{""hobbies"": [""leave"", ""effect""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 5}, ""soft"": [""six"", ""reduce""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 581, ""mother"": 302}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2020}]}",Tashkent,dom 20,,,3.0,5.0,5.0,,1.0,581.0,302.0,laptop,Dell,2020.0,phone,Apple,2020.0
